Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""Never Been Kissed""",,1999,MO,never_been_kissed.html,0151738,2,"""Very catchy mathsy song is playing while we see The Denominators, members of a maths club, in maths action. The movie includes a hilariously bad expansion of &pi;."""
"""The New Math""","""s""",1997,TV,,0280987,3,"""Totally incomprehensible Hal Hartley short. A teacher and his two students arestudying mathematics in the bowels of a factory. There's a blackboard filled will what seem to power series and sech functions. None of it seems to make any sense, thoughthat's entirely consistent with the rest of the film."""
"""Newton: a Tale of Two Isaacs""",,1997,TV,,0217687,3,"""A romanticised biography of Isaac Newton, intended for schoolchildren. Cheesy but fun, with a little mathematics of gravitation."""
"""Ni Vivo, Ni Muerto""",,2002,MO,,0288651,2,"""A mathematician gets in involved in the politicalviolence in Argentina. A couple ODE's in the background."""
"""Night at the Museum: Battle of the Smithsonian""",,2009,MO,,1078912,3,"""The Egyptian Kahmunrah awakens and wants the code to unlock the Gate to the Underworld. It turns out to be &pi; 'the number at the heart of the pyramids'. Weirder, the code is the decimal expansion of &pi;. There's also a funny bit whereLarry teases Kahmunrah for not knowing about the secrets of the Cube of Rubik. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""No Highway in the Sky""",,1951,MO,,0043859,3,"""Jimmy Stewart plays a boffin investigating his theory aboutmetal fatigue in airplanes. When (luckily) his theory seems to be wrong, Marlene Dietrich teaseshim for multiplying when he should have divided.In his spare time, Stewart tries to solve Goldbach's conjecture. 'Sounds interesting,but, isn't it a littlepointless?' 'Oh, quite. That's the beauty of it.'"""
"""No One Would Tell""",,1996,TV,,0117191,1,"""A little school algebra in one scene."""
"""Novo""",,2002,MO,,0291392,2,"""Graham/Pablo cannot remember things but is supposedly very good at mental arithmetic, and Isabelle tests him. He asks him 347 x 347 and4092 x 6549. Unbeknownst to Isabelle (blooper?), he gets them both wrong. He's then working on (7685 x 7639) &minus; &radic; 7639, but gets distractedby Isabelle's legs."""
"""Not One Less""","""Yi Ge Dou Bu Neng Shao""",1999,MO,,0209189,3,"""Very sweet Chinese movie about a 13 year old girlwho starts teaching in a poor mountain school, and who goes off tofind a student lost in the city. Extended scenes where the children are calculating the number of bricks they need to haul to be paid enough to affordthe necessary bus tickets."""
"""No Way Out""",,1987,MO,no_way.html,0093640,1,"""Quick reference to eigenvalues and Fourier transforms, for cleaning up data."""
"""The Number 23""",,2007,MO,,0481369,2,"""Jim Carrey discovers a thousand crazy waysto add up to 23. And there's  one vector integral, for God knows what reason. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""The Nugget""",,2002,MO,,0278597,2,"""Eric Bana and his mates clumsily work out how much their huge gold nugget is worth. The final sum is  incorrect."""
"""Ocean's Eleven""",,2001,MO,oceans_eleven.html,0240772,1,"""One 'You do the math' scene and one 'Imagine the odds' scene."""
"""October Sky""",,1999,MO,october_sky.html,0132477,2,"""A kid in a coal mining community wants to become a rocket scientist. He realizes that he'll have to get good at maths. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Office Space""",,1999,MO,,0151804,2,"""A weird comedy about computer programmers skimming money by rounding down their company's paychecks to the nearest cent."""
"""Oh God! Book II""",,1980,MO,,0081268,3,"""George Burns as God helps a little girl do her maths: the father is impressed by his work. God also admits to mistakenly making maths too hard. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Old School""",,2003,MO,,0302886,2,"""Some very old frat boys take an exam. Apparently Harriot's method for solving cubics is a 'generally accepted graphical technique for determining first order systemparameters'. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Omar Khayyam""",,1957,MO,,0050799,3,"""Cornel Wilde is an improbable Omar Khayyam in this Hollywood biopic. A lot of poetry and romance, and a little bit of maths."""
"""Once Upon a Time in the West""","""C'era Una Volta Il West""",1968,MO,,0064116,2,"""Some funny arithmetic 1-liners.Three bad guys with their horses, to the horseless  Charles Bronson: 'Looks like we're shy of one horse'. Bronson's response: 'You brought two too many'. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Only Yesterday""","""Omohide Poro Poro""",1991,MO,,0102587,3,"""A very sweet anime about Taeko, who is recalling her  shy and awkward childhood. A theme is Taeko's weakness at mathematics, and there is a longscene about division of fractions. Taeko thinks long and unsuccessfully about howto divide 2/3 of a cake by 1/4."""
"""Out of Sight""","""Lemarit Ain""",2006,MO,,0759604,1,"""Ya'ara, the main character, is blind and isdoing a PhD in mathematics at Princeton. No maths."""
"""Outside Providence""",,1999,MO,,0125971,2,"""Dunphy fails to solve an already solved quadratic. Having worked very hard, he later successfully solves the exact same already solved quadratic."""
"""Over/Under""",,2013,MO,,0125971,2,"""A pretty good sports ambling movie, with a little arithmetic here and there."""
"""The Oxford Murders""",,2008,MO,,0488604,4,"""A fun murder mystery with two mathematicians (John Hurt andElijah Wood) taking on the role of detectives. One scene has a professor proving'Bormat's Last Theorem'. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""P.S.""",,2004,MO,,0380609,1,"""One physics lecture containsblackboards full of formulas on gravitation. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Paradisio""",,1961,MO,,0055275,2,"""A maths professor comes into possession of glasses which makes people appearnude. He somehow uses the formula &pi;r<sup>2</sup> to estimate distances for his photographs."""
"""Parallel Life""",,2010,MO,,1533085,2,"""The lives of characters are supposed to run parallel to previous lives.This includes a mathematician, who believes his life parallels KurtG&ouml;del's. He writes crazy probabilistic mathematics on the walls, screams'A coincidence is mathematically impossible', and eventually starves himselfto death (a la  G&ouml;del)."""
"""Les Passagers""",,1999,MO,,0201833,2,"""A gay ex-maths teacher concludes that gays being hardest hit by AIDS is a simple matter of arithmetic."""
"""Patch Adams""",,1998,MO,patch_adams.html,0129290,1,"""A brilliant scientist in an insane asylum does maths and frustrates people by holding up 4 fingers and challenging them: 'How many fingers do you see?'"""
"""Pay it Forward""",,2000,MO,,0223897,2,"""For his school social studies project, Trevor thinks to offer life-changinghelp to three people, who are each then inspired to similarly offer help to three people,and so on. A bit of mathematics, figuring out the geometric explosion."""
"""Peter the Great""",,1986,TV,,0090502,3,"""Peter the Great visits Isaac Newton to discuss his<i>Principia</i>."""
"""Petersen""",,1974,MO,,0071991,2,"""Real-live mathematician Iain Aitchison appears in a crowd scene."""
"""The Phantom Tollbooth""",,1970,MO,,0064806,3,"""When Milo visits Digitopolis, its ruling Mathemagician convinces him of the infinity of numbers by adding 1 again and again. Earlier, the Mathemagician sings a version of Zeno's paradox, suggesting that Milo keep dividing his troubles in two until they disappear. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Phase IV""",,1974,MO,phase.html,0070531,2,"""A mathematician communicates with intelligent ants."""
"""Phenomenon""",,1996,MO,phenomenon.html,0117333,1,"""John Travolta turns into a genius with special abilities.In one scene we see him listing through a maths book."""
"""Pi""",,1998,MO,pi.html,0138704,5,"""The mathematical prodigy Max is looking for pattern in nature and in the stock market. Tons of maths."""
"""Picnic at Hanging Rock""",,1975,MO,picnic.html,0073540,2,"""One of the teachers who goes missing at Hanging Rock is a maths teacher. We see her reading a geometry text."""
"""Pierino Contro Tutti""","""Desirable Teacher""",1981,MO,,0082904,1,"""The poster for the English version has a sexy teacher pointing to 2 + 2 = 4 on the blackbaord. No actual maths in the movie."""
"""The Pirates of Penzance""",,1983,MO,pirates_penzance.html,0086112,3,"""The very famous patter song: I am the very model of a modern Major-General ... I'm very well acquainted, too, with matters mathematical. I understand equations, both the simple and quadratical. About binomial theorem I'm teeming with a lot o' news. With many cheerful facts about the square of the hypotenuse ..."""
"""Planeta Bur""",,Planet of Storms,MO,planeta_bur.html,0056352,2,"""One of the characters is a mathematician. No maths."""
"""Plaga Zombie""",,1997,MO,,0212430,2,"""Max is a mathematician, one of three non-zombie pals in a town of zombies. No maths."""
"""Plaga Zombie: Zona Mutante""",,2001,MO,,0210909,2,"""Max is back, in the sequel to <i>Plaga Zombie</i>. Still no maths."""
"""Pleasantville""",,1998,MO,,0120789,3,"""In the sitcom world of Pleasantville, a geography teacher explains how the town loops back on itself. Very funny scene, but on the DVD commentary the writer-director shows he's completely confused. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Popstar""",,2005,MO,,0426550,3,"""The popstar befriends the maths geek in order to survive calculus.Such a  painful movie, you end up cheering for the Heathers.Somehow the Mean Value Theorem is used to graph x times cosine y."""
"""Possible Worlds""",,2000,MO,,0222293,3,"""Excellent multiverse movie, reminiscent of <i>Brain Dead</i>. George talks of doing a problem on a maths test at school, and seeing himself in anotherworld, doing the problem in a different way. In another scene,George is in a job interview, and instantly seesthe trick behind a very convoluted finance problem. 'You did the sums in your head?''Yes.' '... The next question will be a little more difficult ...'  Thescreenplay and original play are  by John Mighton,  maths consultant on <i>Good Will Hunting</i>."""
"""Il Posto""",,1961,MO,,0055320,2,"""The main character applies for a job. A main part of the assessment test is to solve the following problem: We have a roll of copper wire 520 meters long. Three-quarters of it are cut off. Of the remainder, we cut off four-fifths. How many centimeters of wire are left on the roll?' He's got one hour to solve this problem. His (and his friend's) answer of24 is wrong, even ignoring the units. Still, he gets the job."""
"""Precious""",,2009,MO,,0929632,1,"""A bleak (but very good) movie about Precious, an obese, unloved and pregnant ghetto girl. She's illiterate but bright, and she likes maths. No maths in the movie,except for from some arithmetic on  a blackboard."""
"""Presumed Innocent""",,1990,MO,presumed_innocent.html,0100404,2,"""A jealous wife (who happens to be a mathematician working on her dissertation)  commits murder and gets away with it."""
"""Primer""",,2004,MO,,0390384,1,"""Cool time travel movie, with a few maths references:'The best mathematician's a lazy one'."""
"""The Prince and the Pauper""",,1990,MO,prince_and_pauper.html,0100409,3,"""Mickey Mouse as the prince has to sit through a very boring trigonometry lesson."""
"""The Professor and his Beloved Equation""","""Hakase no Aishita S&ucirc;shiki""",2006,MO,,0498505,5,"""Lovelymovie about a mathematics professor  who only remembers things for a short time. He likes perfect and amicable numbers and his favorite equation is Euler's identity: e<sup>i&pi;</sup>+1=0."""
"""Proof""",,2005,MO,,0377107,5,"""Excellent adaptation of David Auburn's excellent play. Gwyneth Paltrow is a troubled mathematician,  coming to terms with the death of her troubled mathematician father. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Prophecy""",,1995,MO,prophecy.html,0114194,2,"""Christopher Walken as a cynical angel: 'See ya, kids. Study your maths. Key to the universe.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Prospero's Books""",,1991,MO,,0102722,1,"""One of Prospero's books is a maths book featuring animated geometric drawings."""
"""Punch Lady""","""Peon-chi Le-i-di""",2007,MO,,1233488,2,"""A woman who is training for a kickboxingfight with her abusive husband, and a maths teacher falls into guiding her. He comes up with a complicated plan involving precise angles of kicks and dodges: wisely, she ignores him."""
"""A Pure Formality""",,Una Pura Formalit&agrave;,MO,a_pure_formality.html,0110917,3,"""A famous writer has written a book about a mathematician (Claude?) Shannon, and attributes his passion for maths to one of his maths teachers. He ponders projective geometry: 'Two parallel lines can never meet. Nonetheless, it is possible to imagine the existence of a point so far out in space so far into infinity that we can believe and acknowledge that our two lines do in fact meet there. We shall call this point the ideal point.' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Pythagoras and the Thirty Virgins""",,1977,MO,,0069666,4,"""Crazy Czech movie, featuring European heartthrob Karel Gott in a fantasy sequence. He lip-synchs a catchy Pythagoras song to his students."""
"""Quality Street""",,1937,MO,,0029454,3,"""A very funny scene: an arithmetic problem with herring, and the suggestion to use real herring to check the answer. Some of the very funny maths lines from J. M. Barrie's play failed to make it to the movie. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Quest of the Delta Knights""",,1993,MO,delta_knights.html,0107910,2,"""Archimedes being killed by a Roman soldier."""
"""Question Three""",,2016,MO,,6208914,4,"""A very nice movie about a teenage boy taking the International Math Olympiad, and being distracted by his thoughts for a girl also competing. Some very nicevisualisations of the mathematics problems on the exam. The three questions visible all taken from real IMO exams."""
"""Qui Perd Gagne!""","""Loser Takes all""",2003,MO,,0371907,3,"""A maths teacher claims to have found a system for predicting the lottery and proves it by winning the jackpot twice. An expert gambler with a perfect memory is called in by the police to catch the supposed cheat. Fun movie with lots of maths and mathematically-minded people."""
"""Race for the Bomb""",,1987,TV,,0149514,2,"""The mathematician John von Neumann makes a fleeting appearance: it may have been a larger role in the original, much longer version."""
"""Raiders of the Lost Ark""",,1981,MO,,0082971,1,"""In one scene there'sa blackboard with kinematic equations."""
"""Rain Man""",,1988,MO,,0095953,2,"""Dustin Hoffmann is autistic, and really good at numbers. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Raising Genius""",,2004,MO,,0328875,3,"""Ugh! This brain-piercing movie containsthe single most annoying maths character of alltime. (No, we haven't forgotten <i>Late Bloomers</i>). The monumentally whiny Hal has locked himself in the bathroom to do his maths (PDE's). And to to ogle Lacy, the practising cheerleader overthe fence(Danica McKellar). He refuses to come out ('I can't leave my Lipschitz conditions'),and gets annoyed at Lacy's repeated losing the beat on 'seven'. At the end, he realisesthat the 'Lacy Perturbation' is the key to his equations."""
"""Ramanujan""",,2014,MO,,3037162,4,"""A weepy and ponderous Tamil biopic. Still, it's Ramanujan so there's things to see. Partitions get a good mention, and the sum1 + 2 + 3 ... = -1/12 briefly appears. The famous sum-of-two-cubes taxi cab appears near the end."""
"""Reality Bites""",,1994,MO,,0110950,2,"""Winona Ryder and Ben Stiller are discussing how they loved astronomy except for the maths: 'It was like, everything was three squared, times pi, equals the root of ... pi, yeah ... and I just wanted to look at the stars.' Later, David Spade tests Winona to be a cashier at a fast food restaurant:'85 and 45. Go!' '... One f-forty.' 'Nope'. 'One f-fifty.' 'Nope.' 'One sixty.''It's not an auction'. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Real Genius""",,1985,MO,real_genius.html,0089886,3,"""Three consecutive lectures: fewer and fewer students, and more and more recording devices. In the last scene even the lecturer is replaced by a recording. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Red Planet""",,2000,MO,,0199753,3,"""Some astronauts have just crashlanded on Mars and are trying to figure out where they are: 'All the mission data is in here we just got to close in on the downrange variables. It's about the maths.' 'This is it, the moment they told us about in high school when one day algebra would save our lives.' Soon afterwards Val Kilmer solves their problem by using a little bit of geometry involving the mirror reflection of a picture."""
"""Red Planet Mars""",,1952,MO,red_planet_mars.html,0045073,3,"""While biting into a pie a boy has the idea to use the decimal expansion of &pi; to communicate with aliens."""
"""Revelation""",,2001,MO,,0278675,2,"""Isaac Newton appears in a brief scene, as an alchemist."""
"""The Revenge of  Doctor X""",,1970,MO,,0130633,2,"""Z-grade horror film about a NASA mathematician whoreally wants to be a botanist, and creates a venus flytrap man-monster."""
"""Revenge of  the Nerds II: Nerds in Paradise""",,1987,MO,,0093857,2,"""A couple of pretty funny mathematical nerd jokes."""
"""Revolutionary Road""",,2008,MO,,0959337,2,"""John, a mentally disturbed mathematician,is a mirror for the two main characters. He talks abouthis shock therapy: 'Supposed to jolt out theemotional problems.Just jolted out the mathematics.''How awful.''Why?'  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Ringu""","""Ring""",1998,MO,,0178868,2,"""Ryuji is a mathematician who tries to save his ex-wife from a curse. Ryuji's girlfriend performs the <i>Straw Dogs</i> prank of switching a minus sign in his blackboard calculations. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Rise of the Planet of the Apes""",,2011,MO,,1318514,1,"""The chimps' intelligence is tested with the Tower of Hanoi."""
"""The Road to Hong Kong""",,1962,MO,road_to_hong_kong.html,0056417,3,"""A Bob Hope and Bing Crosby movie with a couple very funny maths routines. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""RoboCop""",,1987,MO,,0093870,3,"""A very funny short scene where a gas station attendant working through Schaum's <i>Plane Geometry</i> is held up by a thug."""
"""Rocketship X-M""",,1950,MO,,0042897,3,"""'A differential 6 over M to the 30th power,the half-way check result is262 000 and 341 000, both using tangent 8. Correct?'"""
"""Rosencrantz & Guildenstern are Dead""",,1990,MO,rosencrantz.html,0100519,3,"""Rosencrantz and Guildenstern have a coin come up heads more than 157 times in a row. As they continue to toss the coin, they discuss what this means."""
"""Roxanne""",,1987,MO,,0093886,1,"""Daryl Hannah as Roxanne is an astronomer who discovers a 'mathematical irregularity' of a comet's orbit."""
"""The Rules of Attraction""",,2002,MO,rules_of_attraction.html,0292644,3,"""A very funny scene where a girl decides that wearing two condoms is 196% safe. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Rushmore""",,1998,MO,rushmore.html,0128445,3,"""The movie begins with a dream sequence in which a mathematical underachiever fantasises that hebecomes   the hero of the class, by solving a super difficult maths problem.The problem they show is to calculate the area of an ellipse, which is quite routine."""
"""S4""",,2008,MO,,1305908,2,"""Crazy low-budget Roswell movie, with aliens impregnating male marines. The aliensare turned on by ears and maths."""
"""The Saint""",,1997,MO,,0120053,1,"""A nuclear chemist figures out the key to cold fusion. Napkins with the relevant equations appear in a few scenes. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Safe""",,2012,MO,,1656190,3,"""A young girl genius is forced to be a human calculator for Chinese mobsters. A bit of discussion about a  number she has to memorise being code for a safe combination.One scene where the girl shows up the teacher, though her answer appears to have nothing to do with the parabolas and quadratics on the blackboard in the background."""
"""Coarse Salt""","""Sal Gorda""",1984,MO,,0086234,2,"""A composer has 47 hours to write 10 songs, which apparently amounts to 4 hours and 7 minutes per song."""
"""Salem's Lot""",,1997,TV,,0079844,2,"""David Soul comes up with a  vampire population model: 'They're breeding on one another! Vampires are creating vampires. It's a geometricprogression: 2 times 2 times 4 times 8.' Luckily, David is better at stakingthan sequences. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Sarangni""","""Close to You""",2005,MO,,0481815,3,"""Strange movie. A maths teacher gets involved with a student who reminds her of,or maybe is, a dead childhood friend. Some detailed maths, including a longscene on getting the complex cube roots of 1."""
"""The Santa Clause 3""",,2006,MO,,0452681,1,"""'Alright class, if a reindeer leaves Ellsberg flying West at 20 miles per hour, and another reindeer flies East travelling at 50 miles per hour,how many hours does it take for them to be 210 miles apart. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""The Saragossa Manuscript""",,Rekopis Znaleziony w Saragossie,MO,saragossa.html,0059643,2,"""Some noblemen are pondering the nature of infinity."""
"""A Scanner Darkly""",,2006,MO,,0405296,2,"""The druggies seem confused that a bike with 6 gears in the back and 3 in the front isclaimed to be 18-speed: the popular answer is that the bike is 9-speed."""
"""Schoolgirl Report 4""","""Schulm&auml;dchen-Report 4""",1972,MO,,0069234,2,"""Some kids make out whilst the teacher goes on about Schiller. The binomial formula is on the blackboard in the background."""
"""The School of Rock""",,2003,MO,,0332379,3,"""Jack Black is intent upon teaching his studentsrock music. When surprised by the principal, he improvises a very funny maths song."""
"""Sebastian""",,1968,MO,,0063570,2,"""A mathematician is in charge of a special codebreaking unit, consisting exclusively of beautiful young woman."""
"""Secretos del Coraz&oacute;n""","""Secrets of the Heart""",1997,MO,,0120090,1,"""A couple of arithemtic problems on a school blackboard."""
"""El Seductor""",,1995,MO,,0164874,2,"""Cosme is a precocious high school student. It turns out he's also precociousat pursuing women. A little algebra when he's not thus occupied."""
"""Sekret Enigmy""",,1979,MO,,0079878,2,"""Movie about the Polish contribution to breaking the Enigma code in WWII. Features a calculation of the astronomical number of different settings of the Enigma machine."""
"""Serial Mom""",,1994,MO,,0111127,2,"""A maths teacher is murdered by a homicidal mother."""
"""A Serious Man""",,2009,MO,,1019452,3,"""Some (incorrect) mathematical calculations for quantum mechanics, and a humongous blackboard.Our colleague QEDcat has a cameo role as Schr&ouml;dinger's cat. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Seven-Per-Cent Solution""",,1976,MO,,0075194,2,"""Sherlock Holmes: 'The only time Professor Moriarty really occupied the role of my nemesis was when it took him three weeks to make clear to me the mysteries of elementary calculus.'"""
"""She Wrote the Book""",,1946,MO,,0038933,4,"""A woman maths professor lectures about the radius of convergence of power series. In a very funny scene she discusses whether she likes bridges and applies (correctly!) the law of tangents. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Shack Out on 101""",,1955,MO,,0048607,1,"""B grade spy movie, with a theoretical physicist. A few equations."""
"""Shrieker""",,1998,MO,shrieker.html,0127282,3,"""An incredibly bad horror movie, featuring a higher-dimensional monster and a maths student hero, who fortuitously specializes in 'multi-dimensional  topography'. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""The Siege of Syracuse""","""L'Assedio di Siracusa""",1960,MO,,0055762,4,"""Archimedes as the hero in a sword and sandals flick?! The usual geometrical constructions,  and the use of parabolic mirrors to burn Roman warships, and women's dresses. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Silent Star""",,1960,MO,,0053250,2,"""A mathematician is included on a trip to Venus. He helps decode Venusian messages, but is mostly there as cannon fodder."""
"""Si Versailles M'&Eacute;tait Cont&eacute;""",,1954,MO,,0047484,2,"""The mathematician Jean d'Alembert appears, but he has no speaking lines."""
"""Sky Captain and the World of Tomorrow""",,2004,MO,,0346156,2,"""Gwyneth Paltrow is spottedwith the book <i>Isaac Newton's Mathematical Principles of Modern Philosophy</i>."""
"""The Sleeping Cardinal""",,1931,MO,,0022373,2,"""A couple of references to Moriarty having been a mathematics professor."""
"""Small Time Crooks""",,2000,MO,,0196216,3,"""Woody Allen weaves in some funny fractions when the not so bright bank robbers try to work out their shares of the loot."""
"""Smilla's Sense of Snow""",,1997,MO,smillas_sense_of_snow.html,0120152,2,"""Smilla: 'The only thing that makes me truly happy is mathematics, snow, ice, numbers. To me the number system is like human life. First you have the natural numbers, the ones that are whole and positive like the numbers of a small child ...' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Solar Destruction""",,2008,MO,,1130091,1,"""A child prodigy in college is able to predict solar flares.  A couple quick maths jokes, but no real maths."""
"""Sneakers""",,1992,MO,sneakers.html,0105435,2,"""A mathematician's codebreaking device becomes the inspiration for spy games. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Solid Geometry""",,2002,TV,solid_geometry.html,0343014,5,"""A man reads his  grandfather's work on 'a plane without a surface', and applies it to make his unwanted girlfriend disappear."""
"""Son of Sinbad""",,1955,MO,,0048642,1,"""Vincent Price is an improbable Omar Khayyam. Unfortunately he's all poe, and there's no mathematics."""
"""Spaceways""",,1953,MO,,0046351,2,"""Features a female 'higher' mathematician, who 'has everything, including emotions,  neatly reduced to equations and theorems.'"""
"""The Spanish Prisoner""",,1997,MO,spanish_prisoner.html,0120176,3,"""Intrigue centered around a valuable industrial process. Bits and pieces of maths as decoration: painting of Luca Pacioli, commuting diagram, multivariate calculus, etc."""
"""Sphere""",,1998,MO,sphere.html,0120184,2,"""Features a perfect sphere as the main focus of attention. Samuel L. Jackson plays  a mathematician, and there's some nonsensical code breaking."""
"""Spider-Man 2""",,2004,MO,spiderman.html,0316654,3,"""Spiderman knows that Jacob Bernoulli found the curves of quickest descent. He also knows his eigenvalues."""
"""Spider-Man 3""",,2007,MO,spiderman.html,0413300,1,"""A Hamiltonian and some matrices in a classroom physics scene."""
"""Square Root of Three""","""Lidris Cuadrade di Tre""",2001,MO,,0836672,2,"""Three guys break into school to alter theirmaths exams, and the horror begins. A really creepy &radic;3 in the titles,and a few exponential limits on a blackboard."""
"""St. Trinians""",,2007,MO,,0964587,3,"""'What is the volume of a sphere? Yes, Peaches, you got there first'. 'Quite loud'. Apparently the correct answer is 'pi R cubed'. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Stand and Deliver""",,1988,MO,stand_and_deliver.html,0094027,5,"""Great movie about the legendary maths teacher Jaime Escalante, motivating his students in a poor school in East Los Angeles.  <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Stand-In""",,1937,MO,standin.html,0029605,4,"""Mathematician Attenbury Dodd does everything mathematically, including dancing, and knocking out a bully using the principle that 'the straight line is the shortest distance between two points.'"""
"""Star Trek""",,2009,MO,,0796366,2,"""Spock as a child learns some mathematics, including the volume of a sphere. Later, as an adult,he repeats his 'eliminate the impossible' line from <i>Star Trek VI</i>.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Star Trek VI: The Undiscovered Country""",,1991,MO,undiscovered.html,0102975,1,"""Spock: 'An ancestor of mine maintained that if you eliminate the impossible whatever remains however improbable must be the truth.'"""
"""Stargate""",,1994,MO,,0111282,2,"""An alien map uses constellations  (in a not very convincing manner) to indicate coordinates in space."""
"""""",,1997,MO,,0120201,1,"""The scores in a maths final indicate who's going to be the pilots, and who's going to be cannon fodder."""
"""The Story of Mankind""",,1957,MO,,0051016,3,"""An ageing but still funny Harpo Marx plays Isaac Newton, getting hit on the head with apples."""
"""Stranger than Fiction""",,2006,MO,,0420223,3,"""Will Ferrell plays a nerdy IRS accountant, a character in Emma Thompson's novel,who begins to hear Emma's narration of the plot. He is 'a man of infinite numbers, endless calculations and remarkably few words'. His favourite word is 'integer'. At one pointhe correctly calculates 67 x 453, but changes it it to agree with the narrator's incorrect calcualtion. A tower of Hanoi appears in Dustin Hoffman's office."""
"""Strangers on a Train""",,1951,MO,strangers_on_train.html,0044079,3,"""Hitchcock movie, which includes a very funny scene with a drunk mathematician discussing calculus."""
"""Straw Dogs""",,1971,MO,straw_dogs.html,0067800,3,"""Dustin Hoffmann as a mathematician driven to extremes to defend his house. He also counts to 100 in binary and there are some good calculus blackboards: his wife amuses herselfby switching a minus sign in his calculations. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Strike it Rich""",,1990,MO,,0100708,3,"""Bertram is a low-level accountant and an amateur mathematician, who is smitten by  Molly Ringwald: 'In my dream, I'd dared to ask her out ... the only glamour in my life was the dance of numbers'. His maths isn't so hot when he later tries to guess Molly's phone number: 'Do you realize there are 30 permutations of the numbers 4, 0 and 8, with a random double?' Actually, there are 36 such permutations."""
"""Succubus""","""Necronomicon - Getr&auml;umte S&uuml;nden""",1968,MO,,0062032,3,"""Bizarre scene in which someone is playing the piano from a geometry book whilst a woman is taking off her clothes. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Summer Night Fever""",,1978,MO,,0078340,1,"""Features a sexy maths teacher. No maths."""
"""Summer Wars""",,2009,MO,,1474276,2,"""Kenji is a maths genius, who is tricked intocracking the encryption of an online site. In one scene he does the day of birth trick."""
"""A  Summer's Tale""","""Conte d'&Eacute;t&eacute;""",1996,MO,,0115940,2,"""One of the main characters is doing a masters in maths."""
"""Superman III""",,1983,MO,,0086393,1,"""A computer scientist figures out how to skim money from his company by rounding down their checks and pocketing the fractions of a cent."""
